Id,Games,City,Sport,Event,Medal
41200,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41201,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41202,2012 Summer,London,Athletics,Athletics Men's Long Jump,NA
41203,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,NA
41204,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",NA
41205,1960 Summer,Roma,Boxing,Boxing Men's Flyweight,Gold
41206,1964 Summer,Tokyo,Boxing,Boxing Men's Bantamweight,NA
41207,1976 Summer,Montreal,Boxing,Boxing Men's Flyweight,Bronze
41208,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
41209,1988 Summer,Seoul,Athletics,Athletics Women's 100 metres,NA
41210,1988 Summer,Seoul,Athletics,Athletics Women's 200 metres,NA
41211,1992 Summer,Barcelona,Athletics,Athletics Women's 100 metres,NA
41212,1992 Summer,Barcelona,Athletics,Athletics Women's 200 metres,Gold
41213,1992 Summer,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
41214,1992 Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
41215,1996 Summer,Atlanta,Athletics,Athletics Women's 100 metres,Bronze
41216,1996 Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
41217,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41218,1988 Summer,Seoul,Boxing,Boxing Men's Bantamweight,NA
41219,1948 Summer,London,Athletics,Athletics Men's 800 metres,NA
41220,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41221,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41222,1964 Summer,Tokyo,Athletics,Athletics Men's 100 metres,NA
41223,1968 Summer,Mexico City,Athletics,Athletics Men's 200 metres,NA
41224,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,NA
41225,1968 Summer,Mexico City,Boxing,Boxing Men's Bantamweight,NA
41226,1972 Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,NA
41227,2004 Summer,Athina,Athletics,Athletics Women's Pole Vault,NA
41228,1988 Summer,Seoul,Athletics,Athletics Men's Triple Jump,NA
41229,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41230,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41231,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41232,2008 Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",NA
41233,1956 Summer,Melbourne,Boxing,Boxing Men's Light-Middleweight,Silver
41234,1984 Summer,Los Angeles,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
41235,2008 Summer,Beijing,Athletics,Athletics Women's Long Jump,NA
41236,2012 Summer,London,Athletics,Athletics Women's Long Jump,NA
41237,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,NA
41238,2004 Summer,Athina,Athletics,Athletics Women's Marathon,NA
41239,1964 Summer,Tokyo,Boxing,Boxing Men's Bantamweight,NA
41240,2008 Summer,Beijing,Boxing,Boxing Men's Featherweight,NA
41241,2004 Summer,Athina,Athletics,Athletics Men's 200 metres,NA
41242,2004 Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,NA
41243,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,NA
41244,2012 Summer,London,Athletics,Athletics Men's High Jump,NA
41245,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41246,1996 Summer,Atlanta,Athletics,Athletics Women's 400 metres Hurdles,NA
41247,2000 Summer,Sydney,Athletics,Athletics Women's 400 metres Hurdles,NA
41248,2004 Summer,Athina,Athletics,Athletics Women's 400 metres Hurdles,NA
41249,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41250,2004 Summer,Athina,Athletics,Athletics Women's Marathon,NA
41251,2008 Summer,Beijing,Athletics,Athletics Women's Marathon,NA
41252,1948 Summer,London,Athletics,Athletics Men's Discus Throw,Silver
41253,1952 Summer,Helsinki,Athletics,Athletics Men's Discus Throw,NA
41254,1988 Summer,Seoul,Athletics,Athletics Men's High Jump,NA
41255,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41256,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41257,1980 Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,NA
41258,2008 Summer,Beijing,Athletics,Athletics Women's Hammer Throw,NA
41259,1968 Summer,Mexico City,Athletics,Athletics Men's Marathon,NA
41260,1972 Summer,Munich,Athletics,Athletics Men's Marathon,NA
41261,1972 Summer,Munich,Boxing,Boxing Men's Light-Heavyweight,NA
41262,1964 Summer,Tokyo,Boxing,Boxing Men's Light-Welterweight,NA
41263,2004 Summer,Athina,Athletics,Athletics Men's 50 kilometres Walk,NA
41264,2004 Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,NA
41265,2008 Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,NA
41266,2012 Summer,London,Athletics,Athletics Men's 50 kilometres Walk,NA
41267,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,Gold
41268,1976 Summer,Montreal,Athletics,Athletics Men's High Jump,NA
41269,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
