Id,Games,City,Sport,Event,Medal
366,2004 Summer,Athina,Athletics,Athletics Women's Shot Put,NA
367,2008 Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
368,2012 Summer,London,Athletics,Athletics Women's Shot Put,Gold
369,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
370,1960 Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
371,1984 Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
372,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
373,2000 Summer,Sydney,Boxing,Boxing Men's Light-Heavyweight,NA
374,1980 Summer,Moskva,Athletics,Athletics Men's Javelin Throw,NA
375,1992 Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",NA
376,1988 Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,NA
377,1988 Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",NA
378,1996 Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",NA
379,1948 Summer,London,Athletics,Athletics Men's 800 metres,NA
380,1948 Summer,London,Athletics,"Athletics Men's 1,500 metres",NA
381,1968 Summer,Mexico City,Athletics,Athletics Men's Marathon,NA
382,1960 Summer,Roma,Athletics,"Athletics Men's 10,000 metres",NA
383,1960 Summer,Roma,Boxing,Boxing Men's Middleweight,NA
384,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,NA
385,1960 Summer,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,NA
386,1964 Summer,Tokyo,Athletics,Athletics Men's 400 metres,NA
387,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,NA
388,1968 Summer,Mexico City,Athletics,Athletics Men's 200 metres,NA
389,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,NA
390,1972 Summer,Munich,Athletics,Athletics Men's 200 metres,NA
391,1972 Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,NA
392,2008 Summer,Beijing,Athletics,Athletics Men's Decathlon,NA
393,2012 Summer,London,Athletics,Athletics Men's Decathlon,NA
394,1984 Summer,Los Angeles,Athletics,Athletics Women's 400 metres,NA
395,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,NA
396,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,NA
397,1996 Summer,Atlanta,Athletics,Athletics Women's 400 metres,NA
398,1948 Summer,London,Athletics,Athletics Men's High Jump,NA
399,1948 Summer,London,Athletics,Athletics Men's Long Jump,NA
400,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,NA
401,1996 Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,NA
402,1988 Summer,Seoul,Boxing,Boxing Men's Welterweight,NA
403,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
404,1956 Summer,Melbourne,Boxing,Boxing Men's Bantamweight,NA
405,2012 Summer,London,Athletics,"Athletics Men's 5,000 metres",NA
406,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
407,1988 Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",NA
408,1996 Summer,Atlanta,Athletics,Athletics Men's 800 metres,NA
409,2000 Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",NA
410,1972 Summer,Munich,Athletics,Athletics Men's Marathon,NA
411,1984 Summer,Los Angeles,Athletics,Athletics Men's 800 metres,NA
412,1984 Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",NA
413,1988 Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",NA
414,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
415,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
416,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
417,1992 Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
418,1992 Summer,Barcelona,Athletics,Athletics Men's 200 metres,NA
419,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
420,1996 Summer,Atlanta,Athletics,Athletics Men's 100 metres,NA
421,1968 Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",NA
422,1972 Summer,Munich,Athletics,"Athletics Men's 5,000 metres",NA
423,1972 Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
424,2012 Summer,London,Athletics,Athletics Women's 200 metres,NA
425,1996 Summer,Atlanta,Athletics,"Athletics Women's 10,000 metres",NA
426,2000 Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",NA
427,2008 Summer,Beijing,Athletics,Athletics Women's Marathon,NA
428,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
429,1980 Summer,Moskva,Boxing,Boxing Men's Light-Middleweight,NA
430,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,NA
431,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
432,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
433,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
434,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
435,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
436,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
437,2012 Summer,London,Athletics,Athletics Women's 100 metres Hurdles,NA
438,1996 Summer,Atlanta,Athletics,Athletics Men's Marathon,NA
439,2000 Summer,Sydney,Athletics,Athletics Men's Marathon,NA
440,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
441,1980 Summer,Moskva,Athletics,Athletics Men's 200 metres,NA
442,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,NA
443,1960 Summer,Roma,Athletics,Athletics Women's 100 metres,NA
444,1984 Summer,Los Angeles,Athletics,Athletics Women's 800 metres,NA
445,1964 Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",NA
446,2012 Summer,London,Boxing,Boxing Men's Light-Heavyweight,NA
447,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,NA
448,1952 Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold
449,1996 Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold
450,1996 Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,NA
451,1960 Summer,Roma,Athletics,Athletics Men's 400 metres,NA
452,1960 Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,NA
453,2000 Summer,Sydney,Athletics,Athletics Men's 100 metres,NA
454,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Downhill,NA
455,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
456,1948 Summer,London,Boxing,Boxing Men's Flyweight,NA
457,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,NA
458,1996 Summer,Atlanta,Boxing,Boxing Men's Flyweight,NA
459,1980 Summer,Moskva,Boxing,Boxing Men's Featherweight,NA
460,1972 Summer,Munich,Athletics,Athletics Men's Long Jump,NA
461,1996 Summer,Atlanta,Athletics,Athletics Women's Shot Put,NA
462,2004 Summer,Athina,Athletics,Athletics Women's Shot Put,NA
463,2004 Summer,Athina,Athletics,Athletics Women's Discus Throw,NA
464,2008 Summer,Beijing,Athletics,Athletics Women's Discus Throw,NA
465,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom,NA
466,2000 Summer,Sydney,Athletics,Athletics Women's 100 metres,NA
467,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,NA
468,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,NA
469,1988 Summer,Seoul,Athletics,Athletics Women's 200 metres,NA
470,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,NA
471,2012 Summer,London,Athletics,Athletics Women's Heptathlon,NA
472,1996 Summer,Atlanta,Athletics,Athletics Men's Decathlon,NA
473,1996 Summer,Atlanta,Athletics,Athletics Women's 800 metres,NA
474,2004 Summer,Athina,Boxing,Boxing Men's Bantamweight,NA
475,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
476,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,NA
477,1948 Summer,London,Boxing,Boxing Men's Welterweight,NA
478,1996 Summer,Atlanta,Athletics,Athletics Women's 400 metres,NA
479,1996 Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
480,2000 Summer,Sydney,Athletics,Athletics Women's 400 metres,NA
481,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,NA
482,1972 Summer,Munich,Athletics,"Athletics Men's 5,000 metres",NA
483,1972 Summer,Munich,Athletics,Athletics Women's 100 metres,NA
484,1972 Summer,Munich,Athletics,Athletics Women's 200 metres,NA
485,1952 Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,NA
486,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
487,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
488,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,NA
489,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,NA
490,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
491,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
492,1964 Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,NA
493,1968 Summer,Mexico City,Athletics,Athletics Men's 50 kilometres Walk,NA
494,1996 Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",NA
495,1980 Summer,Moskva,Athletics,Athletics Men's Triple Jump,NA
496,1972 Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,NA
497,1972 Summer,Munich,Boxing,Boxing Men's Bantamweight,NA
498,1984 Summer,Los Angeles,Athletics,Athletics Men's Triple Jump,NA
499,1992 Summer,Barcelona,Athletics,Athletics Women's Long Jump,NA
500,1980 Summer,Moskva,Athletics,Athletics Men's High Jump,NA
501,1996 Summer,Atlanta,Boxing,Boxing Men's Lightweight,NA
502,2004 Summer,Athina,Athletics,"Athletics Men's 5,000 metres",NA
503,1964 Summer,Tokyo,Boxing,Boxing Men's Flyweight,NA
504,1948 Summer,London,Boxing,Boxing Men's Bantamweight,NA
505,1952 Summer,Helsinki,Boxing,Boxing Men's Featherweight,NA
506,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,NA
507,2004 Summer,Athina,Athletics,Athletics Women's Pole Vault,NA
508,2008 Summer,Beijing,Athletics,Athletics Women's Pole Vault,NA
509,1980 Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,NA
510,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
511,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
512,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
513,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
514,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
515,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
516,1984 Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
517,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
518,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
519,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,NA
520,1956 Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
521,1956 Summer,Melbourne,Athletics,Athletics Men's 200 metres,NA
522,1988 Summer,Seoul,Boxing,Boxing Men's Flyweight,NA
523,2008 Summer,Beijing,Athletics,Athletics Women's Javelin Throw,NA
524,1976 Summer,Montreal,Boxing,Boxing Men's Lightweight,NA
525,1984 Summer,Los Angeles,Athletics,Athletics Women's High Jump,NA
526,1996 Summer,Atlanta,Athletics,Athletics Men's 100 metres,NA
527,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,NA
528,1968 Summer,Mexico City,Boxing,Boxing Men's Lightweight,NA
529,1988 Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,NA
530,1984 Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
531,1980 Summer,Moskva,Boxing,Boxing Men's Flyweight,NA
532,2012 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,NA
533,2008 Summer,Beijing,Athletics,Athletics Women's Marathon,NA
534,2012 Summer,London,Athletics,Athletics Women's Marathon,NA
535,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
536,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
537,1964 Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",NA
538,1964 Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",NA
539,1984 Summer,Los Angeles,Athletics,Athletics Men's 200 metres,NA
540,1992 Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
541,1980 Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,Bronze
542,1964 Summer,Tokyo,Boxing,Boxing Men's Middleweight,NA
543,2004 Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,NA
544,1984 Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",NA
545,1984 Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",NA
546,1984 Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
547,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
548,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,NA
549,1960 Summer,Roma,Boxing,Boxing Men's Lightweight,NA
550,2008 Summer,Beijing,Athletics,Athletics Women's 100 metres,NA
551,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
552,1996 Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,NA
553,2000 Summer,Sydney,Boxing,Boxing Men's Featherweight,NA
554,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
555,2000 Summer,Sydney,Athletics,Athletics Men's 400 metres,NA
556,1948 Summer,London,Athletics,Athletics Men's Long Jump,NA
557,1948 Summer,London,Athletics,Athletics Men's Triple Jump,NA
558,1992 Summer,Barcelona,Athletics,Athletics Men's Marathon,NA
559,1996 Summer,Atlanta,Athletics,Athletics Men's Marathon,NA
560,1996 Summer,Atlanta,Athletics,Athletics Men's Marathon,NA
561,1996 Summer,Atlanta,Athletics,Athletics Men's 200 metres,NA
562,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,NA
563,2000 Summer,Sydney,Athletics,Athletics Men's 200 metres,NA
564,1992 Summer,Barcelona,Athletics,Athletics Men's Triple Jump,NA
565,1996 Summer,Atlanta,Athletics,Athletics Men's Triple Jump,NA
566,1992 Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,NA
567,1996 Summer,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,NA
568,1992 Summer,Barcelona,Athletics,Athletics Men's 20 kilometres Walk,NA
569,1996 Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,NA
570,2000 Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,NA
571,2008 Summer,Beijing,Athletics,Athletics Women's 100 metres,NA
572,2012 Summer,London,Athletics,Athletics Women's 100 metres,NA
573,1980 Summer,Moskva,Boxing,Boxing Men's Bantamweight,NA
574,1964 Summer,Tokyo,Athletics,Athletics Women's 100 metres,NA
575,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,NA
576,1964 Summer,Tokyo,Athletics,Athletics Men's 100 metres,NA
577,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,NA
578,1964 Summer,Tokyo,Athletics,Athletics Men's Long Jump,NA
579,1968 Summer,Mexico City,Athletics,Athletics Men's 100 metres,NA
580,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,NA
581,1968 Summer,Mexico City,Athletics,Athletics Men's Long Jump,NA
582,1972 Summer,Munich,Athletics,Athletics Men's Long Jump,NA
583,1992 Summer,Barcelona,Boxing,Boxing Men's Light-Flyweight,NA
584,1964 Summer,Tokyo,Boxing,Boxing Men's Middleweight,NA
585,1968 Summer,Mexico City,Boxing,Boxing Men's Middleweight,NA
586,1948 Summer,London,Athletics,"Athletics Men's 5,000 metres",NA
587,1972 Summer,Munich,Athletics,Athletics Women's High Jump,NA
588,1976 Summer,Montreal,Athletics,Athletics Women's High Jump,NA
589,1948 Summer,London,Boxing,Boxing Men's Bantamweight,NA
590,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
591,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
592,1956 Summer,Melbourne,Athletics,"Athletics Men's 5,000 metres",NA
593,1956 Summer,Melbourne,Athletics,"Athletics Men's 10,000 metres",NA
594,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,NA
595,2000 Summer,Sydney,Athletics,Athletics Men's 200 metres,NA
596,1976 Summer,Montreal,Athletics,Athletics Men's 100 metres,NA
597,1976 Summer,Montreal,Athletics,Athletics Men's 200 metres,NA
598,1948 Summer,London,Athletics,Athletics Men's High Jump,NA
599,1948 Summer,London,Athletics,Athletics Men's Triple Jump,Gold
600,1952 Summer,Helsinki,Athletics,Athletics Men's Triple Jump,NA
601,1984 Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
602,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
603,1988 Summer,Seoul,Athletics,Athletics Men's 400 metres,NA
604,2012 Summer,London,Athletics,Athletics Men's 100 metres,NA
605,2012 Summer,London,Athletics,"Athletics Men's 10,000 metres",NA
606,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
607,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",NA
608,2000 Summer,Sydney,Athletics,Athletics Women's 100 metres,NA
609,2004 Summer,Athina,Boxing,Boxing Men's Featherweight,NA
610,2008 Summer,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",NA
611,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
612,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
613,1980 Summer,Moskva,Athletics,Athletics Men's Javelin Throw,NA
614,1960 Summer,Roma,Boxing,Boxing Men's Light-Heavyweight,NA
615,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
616,1980 Summer,Moskva,Athletics,Athletics Men's 200 metres,NA
617,1960 Summer,Roma,Boxing,Boxing Men's Welterweight,NA
618,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,NA
619,2012 Summer,London,Athletics,Athletics Women's 100 metres Hurdles,NA
620,2012 Summer,London,Athletics,Athletics Women's 100 metres,NA
621,2012 Summer,London,Athletics,Athletics Women's 200 metres,NA
622,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,NA
623,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,NA
624,1960 Summer,Roma,Athletics,Athletics Men's Javelin Throw,NA
625,1956 Summer,Melbourne,Athletics,Athletics Women's Javelin Throw,Silver
626,1960 Summer,Roma,Athletics,Athletics Women's Javelin Throw,NA
627,1956 Summer,Melbourne,Boxing,Boxing Men's Heavyweight,NA
628,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
629,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Slalom,NA
630,1956 Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
631,1956 Summer,Melbourne,Athletics,Athletics Men's 200 metres,NA
632,2012 Summer,London,Athletics,Athletics Women's 100 metres,NA
633,2012 Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,NA
634,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,NA
635,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,NA
636,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,NA
637,1992 Summer,Barcelona,Athletics,Athletics Men's 800 metres,NA
638,1996 Summer,Atlanta,Athletics,Athletics Men's 800 metres,NA
639,1980 Summer,Moskva,Athletics,Athletics Men's 800 metres,NA
640,1980 Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",NA
641,1984 Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",NA
642,2012 Summer,London,Athletics,Athletics Women's 20 kilometres Walk,NA
643,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,NA
644,1964 Summer,Tokyo,Athletics,Athletics Women's 100 metres,NA
645,1964 Summer,Tokyo,Athletics,Athletics Women's 200 metres,NA
646,1964 Summer,Tokyo,Athletics,Athletics Women's 80 metres Hurdles,NA
647,1968 Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,NA
648,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
649,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Women's Slalom,NA
650,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,NA
651,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,NA
652,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,NA
653,2000 Summer,Sydney,Athletics,"Athletics Men's 10,000 metres",NA
654,2004 Summer,Athina,Athletics,"Athletics Men's 5,000 metres",NA
655,2004 Summer,Athina,Athletics,Athletics Men's 800 metres,NA
656,2004 Summer,Athina,Boxing,Boxing Men's Bantamweight,NA
657,2004 Summer,Athina,Boxing,Boxing Men's Welterweight,NA
658,2000 Summer,Sydney,Athletics,Athletics Women's 800 metres,NA
659,2004 Summer,Athina,Athletics,Athletics Women's 800 metres,NA
660,2004 Summer,Athina,Athletics,Athletics Women's 800 metres,NA
661,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
662,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
663,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
664,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
665,2004 Summer,Athina,Athletics,"Athletics Women's 5,000 metres",NA
666,2004 Summer,Athina,Athletics,"Athletics Women's 10,000 metres",NA
